Date,Close,Volume,Open,High,Low
07/08/2019,$14.93,95219,$15.03,$15.03,$14.76
07/09/2019,$14.84,137136,$14.78,$14.91,$14.56
07/10/2019,$14.99,143162,$15.00,$15.28,$14.79
07/11/2019,$14.79,114480,$15.03,$15.12,$14.68
07/12/2019,$15.16,140609,$14.78,$15.21,$14.78
07/15/2019,$15.21,191990,$15.16,$15.36,$14.95
07/16/2019,$15.06,172227,$15.20,$15.21,$14.92
07/17/2019,$15.35,271627,$15.10,$15.525,$14.91
07/18/2019,$15.39,162973,$15.35,$15.605,$15.34
07/19/2019,$15.33,186066,$15.39,$15.63,$15.30
07/22/2019,$15.68,192455,$15.44,$16.06,$15.44
07/23/2019,$15.89,184022,$15.75,$16.04,$15.69
07/24/2019,$16.33,502678,$15.86,$16.605,$15.71
07/25/2019,$15.71,289758,$16.29,$16.29,$15.61
07/26/2019,$15.97,143517,$15.82,$16.05,$15.82
07/29/2019,$16.00,124328,$15.83,$16.05,$15.81
07/30/2019,$16.21,255344,$15.83,$16.32,$15.79
07/31/2019,$16.05,236351,$16.18,$16.44,$15.97
08/01/2019,$16.16,391720,$16.07,$16.59,$16.07
08/02/2019,$15.77,215982,$16.05,$16.2389,$15.46
08/05/2019,$15.09,209845,$15.35,$15.35,$14.73
08/06/2019,$15.02,229509,$15.21,$15.49,$14.855
08/07/2019,$14.89,327967,$16.06,$16.06,$14.87
08/08/2019,$15.22,312917,$14.81,$15.345,$14.81
08/09/2019,$15.04,151222,$15.20,$15.24,$15.00
08/12/2019,$15.03,140285,$14.90,$15.215,$14.90
08/13/2019,$15.28,117188,$15.00,$15.565,$15.00
08/14/2019,$15.00,250869,$15.00,$15.12,$14.925
08/15/2019,$14.91,150182,$14.97,$15.24,$14.78
08/16/2019,$15.33,376721,$15.07,$15.38,$15.03
08/19/2019,$15.17,123573,$15.59,$15.59,$15.15
08/20/2019,$14.91,495881,$15.13,$15.22,$14.90
08/21/2019,$15.07,103467,$15.12,$15.18,$14.94
08/22/2019,$15.40,212060,$15.24,$15.66,$15.24
08/23/2019,$14.85,418894,$15.28,$15.31,$14.67
08/26/2019,$14.88,104275,$15.06,$15.185,$14.77
08/27/2019,$14.76,211224,$14.96,$14.98,$14.63
08/28/2019,$14.67,323684,$14.70,$14.88,$14.53
08/29/2019,$15.16,294445,$14.96,$15.45,$14.64
08/30/2019,$15.31,130943,$15.28,$15.44,$15.15
09/03/2019,$15.05,133355,$15.14,$15.22,$14.91
09/04/2019,$15.71,340151,$15.23,$15.78,$15.23
09/05/2019,$16.12,436803,$15.95,$16.78,$15.91
09/06/2019,$16.00,238661,$16.21,$16.21,$15.98
09/09/2019,$16.36,147583,$15.98,$16.52,$15.98
09/10/2019,$17.25,469856,$16.34,$17.28,$16.04
09/11/2019,$18.28,384268,$17.28,$18.37,$17.06
09/12/2019,$18.19,177872,$18.30,$18.46,$17.90
09/13/2019,$18.41,148503,$18.19,$18.54,$18.10
09/16/2019,$18.33,133335,$18.31,$18.41,$18.04
09/17/2019,$18.60,188441,$18.32,$18.62,$18.23
09/18/2019,$18.37,177744,$18.52,$18.75,$18.20
09/19/2019,$18.16,238151,$18.40,$18.50,$18.15
09/20/2019,$18.22,620869,$18.28,$18.58,$17.96
09/23/2019,$18.38,176958,$18.16,$18.49,$18.0865
09/24/2019,$18.30,251788,$18.56,$18.70,$18.18
09/25/2019,$18.66,198628,$18.30,$18.77,$18.21
09/26/2019,$17.79,184225,$18.68,$18.82,$17.77
09/27/2019,$16.79,307485,$17.65,$17.65,$16.50
09/30/2019,$17.09,202698,$16.86,$17.215,$16.64
10/01/2019,$16.86,164075,$17.24,$17.63,$16.78
10/02/2019,$16.43,332596,$16.68,$16.82,$16.29
10/03/2019,$16.77,136134,$16.36,$16.79,$16.13
10/04/2019,$17.34,160028,$16.70,$17.36,$16.70
10/07/2019,$17.27,130036,$17.34,$17.435,$17.2058
10/08/2019,$16.815,141151,$16.99,$17.00,$16.61
10/09/2019,$17.01,110573,$17.00,$17.12,$16.82
10/10/2019,$17.15,166028,$17.10,$17.33,$17.055
10/11/2019,$17.99,293095,$17.48,$18.16,$17.48
10/14/2019,$17.65,192346,$17.93,$17.98,$17.33
10/15/2019,$18.12,250858,$17.69,$18.26,$17.65
10/16/2019,$18.13,180089,$18.04,$18.35,$18.0358
10/17/2019,$18.16,175160,$18.39,$18.59,$18.05
10/18/2019,$17.82,104137,$18.02,$18.15,$17.7056
10/21/2019,$18.31,157067,$18.08,$18.38,$18.01
10/22/2019,$18.18,167758,$18.30,$18.44,$18.11
10/23/2019,$18.30,191103,$18.05,$18.33,$17.91
10/24/2019,$19.15,336567,$18.57,$19.25,$18.44
10/25/2019,$19.60,188262,$19.20,$19.805,$19.05
10/28/2019,$20.59,203375,$19.76,$20.63,$19.76
10/29/2019,$19.96,199425,$20.52,$20.55,$19.83
10/30/2019,$19.64,141658,$20.00,$20.11,$19.52
10/31/2019,$19.17,240343,$19.62,$19.62,$19.05
11/01/2019,$20.87,497778,$19.49,$21.35,$19.44
11/04/2019,$22.08,322187,$21.69,$22.31,$21.25
11/05/2019,$21.90,193680,$22.05,$22.32,$21.73
11/06/2019,$21.61,198183,$21.86,$21.86,$21.27
11/07/2019,$21.71,209443,$21.82,$21.92,$21.45
11/08/2019,$21.88,265146,$21.57,$22.20,$21.44
11/11/2019,$22.36,192312,$21.85,$22.39,$21.42
11/12/2019,$22.49,153319,$22.37,$22.60,$22.275
11/13/2019,$22.52,143427,$22.27,$22.65,$22.18
11/14/2019,$22.16,133881,$22.42,$22.51,$22.01
11/15/2019,$22.74,343427,$22.46,$22.865,$22.45
11/18/2019,$22.62,225266,$22.64,$22.7692,$22.46
11/19/2019,$22.60,187437,$22.68,$22.82,$22.315
11/20/2019,$22.17,314371,$22.47,$22.60,$21.90
11/21/2019,$21.06,331312,$22.00,$22.00,$20.70
11/22/2019,$20.72,140459,$21.15,$21.15,$20.66
11/25/2019,$21.77,200016,$20.78,$21.80,$20.69
11/26/2019,$21.58,174931,$21.68,$21.87,$21.56
11/27/2019,$21.73,71786,$21.73,$21.78,$21.37
