Date,Close,Volume,Open,High,Low
07/08/2019,$66.64,617651,$66.36,$66.90,$66.18
07/09/2019,$67.11,679338,$66.71,$67.89,$66.585
07/10/2019,$66.26,994288,$67.99,$67.99,$65.37
07/11/2019,$66.11,578150,$66.79,$66.90,$65.58
07/12/2019,$65.98,515964,$66.17,$66.83,$65.7871
07/15/2019,$66.00,697168,$66.13,$66.22,$65.37
07/16/2019,$64.49,834900,$65.80,$66.11,$64.43
07/17/2019,$64.81,772795,$64.58,$65.48,$64.43
07/18/2019,$65.96,877220,$64.59,$66.02,$64.50
07/19/2019,$66.53,878333,$66.02,$67.20,$65.98
07/22/2019,$66.59,882334,$66.94,$67.4699,$66.18
07/23/2019,$66.40,1213605,$67.09,$67.12,$65.42
07/24/2019,$66.04,1068067,$66.27,$66.53,$65.05
07/25/2019,$65.57,742171,$66.02,$66.3099,$65.04
07/26/2019,$65.02,869765,$65.73,$66.25,$64.16
07/29/2019,$66.05,775542,$65.07,$66.10,$64.63
07/30/2019,$66.04,765345,$65.31,$66.26,$65.00
07/31/2019,$64.49,1179813,$66.67,$66.80,$64.09
08/01/2019,$66.83,4288389,$65.52,$69.235,$65.52
08/02/2019,$66.63,2133550,$67.25,$67.50,$64.57
08/05/2019,$62.01,2555459,$64.48,$64.745,$59.665
08/06/2019,$62.80,1327339,$62.68,$63.30,$62.125
08/07/2019,$63.87,1316953,$62.46,$64.06,$61.80
08/08/2019,$64.76,1289973,$64.04,$65.21,$63.37
08/09/2019,$63.50,924905,$64.51,$64.71,$63.49
08/12/2019,$60.94,1200131,$62.83,$63.2625,$60.83
08/13/2019,$62.19,1453434,$60.62,$62.59,$60.22
08/14/2019,$58.99,1566006,$60.96,$60.96,$58.57
08/15/2019,$59.26,959030,$59.31,$59.96,$58.67
08/16/2019,$61.69,1167556,$60.04,$62.15,$60.04
08/19/2019,$63.07,1160907,$62.93,$63.69,$61.6815
08/20/2019,$63.08,1098889,$62.65,$63.72,$61.91
08/21/2019,$63.87,738298,$64.11,$64.8299,$63.33
08/22/2019,$63.05,502207,$63.97,$64.01,$62.41
08/23/2019,$60.89,1076670,$62.33,$62.81,$60.58
08/26/2019,$62.24,654621,$61.81,$62.50,$61.105
08/27/2019,$61.86,878067,$62.81,$63.3699,$61.45
08/28/2019,$62.05,811280,$61.87,$62.72,$61.32
08/29/2019,$62.49,690643,$63.00,$63.60,$62.20
08/30/2019,$62.07,831612,$63.05,$63.31,$60.90
09/03/2019,$60.97,754930,$61.29,$61.78,$60.64
09/04/2019,$62.46,586192,$61.56,$62.57,$61.41
09/05/2019,$62.83,766044,$63.16,$64.48,$62.62
09/06/2019,$62.81,487106,$62.91,$63.02,$61.84
09/09/2019,$62.00,654253,$63.37,$63.745,$61.88
09/10/2019,$62.38,1104779,$61.95,$62.38,$59.68
09/11/2019,$63.31,708091,$62.79,$63.7375,$62.43
09/12/2019,$62.23,1034605,$63.60,$64.22,$61.10
09/13/2019,$63.70,955379,$62.41,$64.14,$61.81
09/16/2019,$63.44,1063265,$63.70,$65.1422,$63.19
09/17/2019,$65.82,1521699,$63.32,$66.44,$63.20
09/18/2019,$65.75,1057560,$65.60,$65.995,$64.20
09/19/2019,$67.07,1817949,$66.00,$67.90,$65.79
09/20/2019,$66.70,1601412,$67.25,$67.61,$65.84
09/23/2019,$67.31,1336589,$67.21,$68.55,$66.43
09/24/2019,$65.48,1318046,$67.79,$67.97,$65.20
09/25/2019,$67.10,1115739,$65.47,$67.40,$65.11
09/26/2019,$62.54,2318176,$66.76,$66.935,$62.26
09/27/2019,$58.46,3937896,$62.47,$63.13,$57.91
09/30/2019,$58.01,2814097,$58.60,$58.67,$55.95
10/01/2019,$56.28,1478878,$58.40,$59.33,$56.24
10/02/2019,$55.905,1706841,$55.78,$56.41,$55.26
10/03/2019,$57.17,1434534,$55.64,$57.52,$54.77
10/04/2019,$59.315,1649213,$57.54,$59.42,$57.21
10/07/2019,$56.96,3757095,$62.25,$62.885,$56.83
10/08/2019,$56.96,1163154,$56.66,$58.21,$56.15
10/09/2019,$56.20,957118,$57.18,$57.56,$56.11
10/10/2019,$56.63,1531660,$56.06,$57.65,$55.89
10/11/2019,$56.82,2437596,$57.62,$58.20,$56.29
10/14/2019,$56.49,760539,$56.59,$57.20,$56.17
10/15/2019,$55.88,1432080,$56.86,$56.94,$54.92
10/16/2019,$55.01,1552577,$55.66,$55.87,$54.07
10/17/2019,$55.25,1525608,$55.07,$56.26,$54.6158
10/18/2019,$55.22,1338461,$55.00,$56.43,$55.00
10/21/2019,$56.34,1050133,$55.59,$56.92,$55.34
10/22/2019,$56.22,1198758,$56.34,$56.78,$55.47
10/23/2019,$55.28,1169790,$55.90,$56.76,$55.05
10/24/2019,$55.89,1802034,$55.61,$56.08,$55.13
10/25/2019,$52.66,6342425,$54.00,$55.00,$50.22
10/28/2019,$53.24,2332302,$53.18,$54.86,$53.11
10/29/2019,$53.29,1282471,$53.55,$53.92,$52.63
10/30/2019,$51.85,1252034,$53.08,$53.54,$51.26
10/31/2019,$51.79,1385158,$52.13,$52.80,$51.08
11/01/2019,$52.58,836480,$52.26,$52.60,$51.43
11/04/2019,$53.06,1261589,$53.79,$54.42,$52.68
11/05/2019,$53.87,953171,$53.12,$54.39,$52.82
11/06/2019,$53.36,822427,$53.86,$54.72,$52.88
11/07/2019,$52.63,991783,$53.76,$54.30,$52.25
11/08/2019,$51.97,930271,$52.52,$52.84,$51.70
11/11/2019,$52.48,768974,$51.94,$53.10,$51.61
11/12/2019,$52.97,775835,$52.60,$53.32,$52.50
11/13/2019,$53.09,689001,$52.54,$53.275,$52.08
11/14/2019,$52.54,656667,$52.78,$52.99,$52.03
11/15/2019,$53.36,920446,$52.73,$54.145,$52.73
11/18/2019,$53.15,893300,$53.40,$53.40,$52.47
11/19/2019,$54.59,1088771,$54.04,$54.82,$53.58
11/20/2019,$54.32,1041085,$54.42,$55.08,$53.95
11/21/2019,$53.86,739278,$54.34,$54.61,$53.42
11/22/2019,$54.38,720324,$54.10,$54.715,$53.88
11/25/2019,$54.96,714781,$54.73,$55.40,$54.57
11/26/2019,$55.09,522174,$55.04,$55.33,$54.61
11/27/2019,$55.62,601286,$55.52,$55.80,$54.92
11/29/2019,$55.24,446020,$55.59,$55.76,$54.95
12/02/2019,$54.72,1020082,$55.52,$55.70,$54.41
12/03/2019,$54.35,1018466,$53.76,$54.39,$52.88
12/04/2019,$54.79,1275615,$54.66,$55.33,$54.37
12/05/2019,$52.30,2393618,$55.03,$55.16,$52.25
12/06/2019,$53.37,1355827,$52.76,$53.65,$52.50
12/09/2019,$52.44,842587,$53.37,$53.52,$52.38
12/10/2019,$52.47,1078728,$52.28,$53.05,$52.28
12/11/2019,$53.87,1058518,$52.83,$54.55,$52.6601
12/12/2019,$55.04,912997,$53.99,$55.08,$53.81
12/13/2019,$54.98,588655,$55.13,$56.025,$54.51
12/16/2019,$56.53,1231808,$55.26,$57.20,$55.26
12/17/2019,$56.30,1390640,$56.46,$57.03,$55.59
12/18/2019,$56.49,897270,$56.21,$56.98,$55.94
12/19/2019,$57.07,1144978,$56.75,$57.59,$56.61
12/20/2019,$57.31,1611911,$57.40,$57.76,$57.04
12/23/2019,$57.86,650140,$57.55,$57.8895,$57.16
12/24/2019,$57.98,290724,$57.71,$58.25,$57.47
12/26/2019,$58.66,1111619,$58.20,$59.00,$58.16
12/27/2019,$56.41,1090085,$58.74,$58.74,$56.18
12/30/2019,$56.26,915879,$56.31,$56.45,$55.0001
12/31/2019,$55.96,705410,$55.89,$56.43,$55.53
01/02/2020,$57.24,1053829,$56.40,$57.26,$55.96
01/03/2020,$57.02,943699,$57.11,$57.66,$56.71
01/06/2020,$55.83,1535134,$56.01,$56.42,$54.78
01/07/2020,$56.67,974383,$55.76,$57.31,$55.76
01/08/2020,$56.70,725721,$56.86,$57.1071,$56.16
01/09/2020,$56.70,891746,$57.07,$58.04,$56.45
01/10/2020,$56.50,829547,$56.74,$56.81,$55.83
01/13/2020,$57.44,1099600,$56.86,$58.35,$56.60
01/14/2020,$58.78,997413,$57.50,$59.10,$57.30
01/15/2020,$54.75,7532705,$55.21,$55.69,$52.75
01/16/2020,$53.93,2181657,$54.03,$54.87,$53.55
01/17/2020,$53.52,1768186,$54.05,$54.60,$52.9001
01/21/2020,$51.55,2687750,$53.48,$53.48,$51.335
01/22/2020,$50.56,2342458,$51.83,$51.83,$50.46
01/23/2020,$52.02,2175786,$50.46,$52.37,$50.21
01/24/2020,$51.94,1729342,$52.61,$53.38,$51.67
01/27/2020,$50.49,1288071,$51.14,$51.23,$50.44
01/28/2020,$51.11,942417,$50.72,$51.335,$50.60
01/29/2020,$50.90,853148,$51.18,$51.52,$50.7265
01/30/2020,$50.72,884540,$50.60,$51.10,$50.11
01/31/2020,$49.58,1054853,$50.60,$50.73,$49.245
02/03/2020,$50.24,986866,$49.88,$50.60,$49.69
02/04/2020,$52.67,1595138,$51.21,$52.69,$51.01
02/05/2020,$53.10,1424532,$53.40,$54.0699,$52.60
02/06/2020,$52.65,966256,$53.49,$53.68,$52.61
02/07/2020,$52.46,704457,$52.27,$52.7788,$52.07
02/10/2020,$52.75,819719,$52.48,$53.16,$52.25
02/11/2020,$53.525,973381,$53.31,$54.23,$53.155
02/12/2020,$56.12,2627215,$54.25,$56.17,$54.00
02/13/2020,$54.61,1737100,$55.78,$55.78,$53.71
02/14/2020,$55.26,651726,$54.88,$55.44,$54.4043
02/18/2020,$55.65,1407357,$55.54,$56.17,$55.02
02/19/2020,$57.37,1945614,$56.16,$58.00,$56.01
02/20/2020,$59.32,4156485,$58.26,$59.90,$56.911
02/21/2020,$50.59,9774901,$53.00,$53.39,$50.27
02/24/2020,$51.21,3700847,$48.27,$51.38,$48.03
02/25/2020,$48.57,2807226,$51.80,$51.87,$48.48
02/26/2020,$46.11,2670436,$48.80,$49.54,$46.04
02/27/2020,$44.25,2699288,$44.68,$46.16,$43.34
02/28/2020,$45.77,2950667,$42.55,$46.655,$42.50
