Date,Close,Volume,Open,High,Low
07/08/2019,$19.51,2730431,$19.81,$19.99,$19.485
07/09/2019,$19.64,3207689,$19.38,$19.725,$19.36
07/10/2019,$19.69,3149224,$19.90,$20.23,$19.645
07/11/2019,$19.65,3626865,$19.69,$19.78,$19.40
07/12/2019,$20.24,3396039,$19.83,$20.29,$19.70
07/15/2019,$20.29,2721616,$20.41,$20.57,$20.10
07/16/2019,$20.35,6083135,$20.17,$20.43,$19.88
07/17/2019,$20.29,5566100,$20.43,$20.47,$20.09
07/18/2019,$20.52,3751808,$20.26,$20.52,$20.17
07/19/2019,$20.22,4173051,$20.82,$20.83,$20.21
07/22/2019,$20.55,2740173,$20.35,$20.61,$20.26
07/23/2019,$20.99,3662934,$20.68,$21.015,$20.63
07/24/2019,$22.32,11630130,$21.32,$22.355,$21.26
07/25/2019,$21.86,5222948,$22.10,$22.14,$21.485
07/26/2019,$22.04,4495055,$21.98,$22.11,$21.70
07/29/2019,$22.22,4064054,$22.01,$22.25,$21.82
07/30/2019,$22.21,4795993,$21.85,$22.295,$21.73
07/31/2019,$21.51,5530209,$22.04,$22.10,$21.38
08/01/2019,$20.48,8927055,$21.43,$21.82,$20.43
08/02/2019,$19.98,6694955,$20.24,$20.67,$19.89
08/05/2019,$17.85,19737600,$18.70,$18.75,$17.75
08/06/2019,$17.66,9958973,$18.02,$18.63,$17.41
08/07/2019,$17.56,9483712,$17.35,$17.655,$17.255
08/08/2019,$17.93,7378572,$17.77,$18.00,$17.55
08/09/2019,$17.08,6427634,$17.76,$17.77,$17.06
08/12/2019,$16.83,5862495,$16.99,$17.105,$16.695
08/13/2019,$17.79,9190091,$16.68,$18.00,$16.65
08/14/2019,$17.13,5130383,$17.12,$17.42,$17.04
08/15/2019,$16.87,4086210,$17.23,$17.39,$16.80
08/16/2019,$17.54,5947835,$17.13,$17.73,$17.128
08/19/2019,$18.01,6353233,$18.43,$18.78,$18.00
08/20/2019,$18.17,5723753,$17.93,$18.275,$17.80
08/21/2019,$18.44,5384481,$18.34,$18.4513,$18.14
08/22/2019,$18.56,6029176,$18.64,$18.82,$18.31
08/23/2019,$17.64,6410803,$18.15,$18.265,$17.52
08/26/2019,$17.37,4189581,$17.94,$18.04,$17.27
08/27/2019,$17.23,3790707,$17.59,$17.755,$17.195
08/28/2019,$17.40,3359223,$17.06,$17.52,$16.95
08/29/2019,$17.88,3479131,$17.74,$18.04,$17.70
08/30/2019,$17.80,2817572,$18.15,$18.15,$17.78
09/03/2019,$17.45,4668831,$17.50,$17.64,$17.18
09/04/2019,$17.86,4713578,$17.73,$18.04,$17.60
09/05/2019,$18.33,7659797,$18.40,$18.76,$18.165
09/06/2019,$18.57,5167889,$18.49,$18.84,$18.3539
09/09/2019,$18.72,4580891,$18.97,$18.97,$18.55
09/10/2019,$19.47,7061767,$18.68,$19.48,$18.46
09/11/2019,$19.85,5157964,$19.74,$19.86,$18.8918
09/12/2019,$20.03,5110591,$19.85,$20.18,$19.58
09/13/2019,$20.12,15107200,$20.07,$20.4361,$19.96
09/16/2019,$19.99,6342270,$19.95,$20.365,$19.66
09/17/2019,$19.65,4245986,$19.77,$19.873,$19.49
09/18/2019,$19.67,4455536,$19.68,$19.71,$19.235
09/19/2019,$19.56,4059258,$19.66,$20.03,$19.54
09/20/2019,$19.32,4849950,$19.73,$19.745,$19.13
09/23/2019,$19.38,3626294,$19.17,$19.60,$19.17
09/24/2019,$18.80,4929769,$19.43,$19.50,$18.68
